x0000,y0000
0.0263409868,0.0914199781
0.0263800684,0.2239879415
0.02641915,0.3423599945
0.0264582316,0.4185811135
0.0264973131,0.3023930468
0.0265363947,0.2353446699
0.0265754763,0.2384022506
0.0266145579,0.3218305241
0.0266536395,0.1848945883
0.0266927211,0.2438622161
0.0267318026,0.1350997025
0.0267708842,-0.0118825699
0.0268099658,-0.0433319715
0.0268490474,0.0999375244
0.026888129,0.2394942437
0.0269272106,0.204113667
0.0269662921,0.2106656256
0.0270053737,0.1300765342
0.0270444553,0.1645835164
0.0270835369,0.0385675117
0.0271226185,0.0837760264
0.0271617000,0.1676410971
0.0272007816,0.1322605204
0.0272398632,0.0202220275
0.0272789448,-0.0077329961
0.0273180264,-0.084609311
0.027357108,-0.0913796682
0.0273961895,0.0623729615
0.0274352711,-0.0075145975
0.0274743527,0.0344179379
0.0275134343,-0.1437953375
0.0275525159,0.0940407616
0.0275915975,-0.0564358888
0.0276306790,-0.1822334949
0.0276697606,-0.0280440679
0.0277088422,-0.16083043
0.0277479238,-0.0695398061
0.0277870054,-0.2163036799
0.027826087,-0.1529680796
0.0278651685,-0.2785472871
0.0279042501,-0.225476422
0.0279433317,-0.4871179708
0.0279824133,-0.3429748805
0.0280214949,-0.1641064093
0.0280605765,-0.3069391079
0.0280996580,-0.3973561373
0.0281387396,-0.3091230941
0.0281778212,-0.4202879926
0.0282169028,-0.3742058834
0.0282559844,-0.2999503520
0.028295066,-0.5336368773
0.0283341475,-0.5954436872
0.0283732291,-0.4019425084
0.0284123107,-0.5410624304
0.0284513923,-0.494543524
0.0284904739,-0.4587261500
0.0285295554,-0.4578525555
0.0285686370,-0.3521476226
0.0286077186,-0.5155097917
0.0286468002,-0.6509169372
0.0286858818,-0.4644045142
0.0287249634,-0.6592160848
0.0287640449,-0.6893550946
0.0288031265,-0.4958539157
0.0288422081,-0.5821213713
0.0288812897,-0.5495799767
0.0289203713,-0.7511619045
0.0289594529,-0.7987728041
0.0289985344,-0.6714464076
0.0290376160,-0.6282034805
0.0290766976,-0.6059268211
0.0291157792,-0.7655762136
0.0291548608,-1.0016651237
0.0291939424,-0.9507782448
0.0292330239,-0.8789250982
0.0292721055,-0.7655762136
0.0293111871,-0.5508903684
0.0293502687,-0.5952252886
0.0293893503,-0.8387397518
0.0294284319,-0.7566218701
0.0294675134,-0.5314528911
0.0295065950,-0.9359271385
0.0295456766,-0.7557482756
0.0295847582,-0.7612082411
0.0296238398,-0.7004934243
0.0296629213,-0.6605264765
0.0297020029,-0.8131871131
0.0297410845,-0.6611816724
0.0297801661,-0.9429158944
0.0298192477,-1.1333594926
0.0298583293,-0.8656027823
0.0298974108,-0.8778331051
0.0299364924,-0.9529622310
0.0299755740,-0.8324061918
0.0300146556,-0.5476143891
0.0300537372,-0.6935046684
0.0300928188,-0.7863240826
0.0301319003,-0.7603346466
0.0301709819,-0.7310692313
0.0302100635,-0.9881244091
0.0302491451,-1.0350801128
0.0302882267,-0.7395867776
0.0303273083,-0.7240804754
0.0303663898,-0.7437363514
0.0304054714,-0.6373762226
0.0304445530,-0.9437894889
0.0304836346,-0.8649475865
0.0305227162,-0.9472838669
0.0305617978,-0.9523070352
0.0306008793,-1.0449080508
0.0306399609,-0.881982679
0.0306790425,-0.8313141987
0.0307181241,-0.7389315817
0.0307572057,-0.8352453739
0.0307962872,-1.0189186148
0.0308353688,-0.9750204918
0.0308744504,-0.9206392350
0.030913532,-0.9922739829
0.0309526136,-1.0532071984
0.0309916952,-1.0966685241
0.0310307767,-0.9616981759
0.0310698583,-1.1379458636
0.0311089399,-0.9820092477
0.0311480215,-0.9730549042
0.0311871031,-1.0901165655
0.0312261847,-1.0949213352
0.0312652662,-1.0647823254
0.0313043478,-0.9440078875
0.0313434294,-1.1027836855
0.031382511,-1.1392562554
0.0314215926,-1.2312020751
0.0314606742,-1.1064964621
0.0314997557,-1.0136770479
0.0315388373,-1.0114930616
0.0315779189,-1.2052126391
0.0316170005,-1.0492760232
0.0316560821,-1.0715526826
0.0316951637,-1.0276545597
0.0317342452,-1.1305203105
0.0317733268,-1.0235049858
0.0318124084,-1.1121748263
0.03185149,-0.781519313
0.0318905716,-0.8221414566
0.0319296532,-0.9566750076
0.0319687347,-1.0003547319
0.0320078163,-1.1731080417
0.0320468979,-0.8142791062
0.0320859795,-0.6520089303
0.0321250611,-0.7939680344
0.0321641426,-0.9182368502
0.0322032242,-1.2379724324
0.0322423058,-1.0783230399
0.0322813874,-0.8804538886
0.032320469,-0.9066617232
0.0323595506,-0.9538358255
0.0323986321,-1.0149874396
0.0324377137,-0.8732467341
0.0324767953,-0.8016119862
0.0325158769,-0.8769595107
0.0325549585,-0.854246054
0.0325940401,-0.9713077152
0.0326331216,-0.8787066996
0.0326722032,-0.7930944399
