x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
1745250080.783,0.82,,,1753087701.476,0.6,1756910054.808,0.67,1756963520.981,0.64,,
1745250096.173,0.81,,,1753087716.876,0.61,1756910070.198,0.67,1756963536.371,0.65,,
1745250111.563,0.82,,,1753087732.266,0.61,1756910085.588,0.67,1756963551.751,0.64,,
1745250126.953,0.82,,,1753087744.316,0.61,1756910100.978,0.67,1756963567.141,0.64,,
1745250142.353,0.82,,,1753087759.706,0.61,1756910116.368,0.67,1756963582.531,0.64,,
1745250157.743,0.82,,,1753087775.096,0.6,1756910131.758,0.67,1756963597.921,0.64,,
1745250173.143,0.82,,,1753087790.486,0.61,1756910147.148,0.67,1756963613.311,0.64,,
1745250188.533,0.82,,,1753087805.886,0.61,1756910162.538,0.67,1756963628.701,0.65,,
1745250203.924,0.82,,,1753087821.276,0.61,1756910177.928,0.67,1756963644.091,0.64,,
1745250219.313,0.83,,,1753087836.676,0.61,1756910193.318,0.67,1756963659.481,0.64,,
1745250234.704,0.82,,,1753087852.056,0.61,1756910208.708,0.66,1756963674.871,0.64,,
1745250250.093,0.82,,,1753087867.446,0.62,1756910224.098,0.67,1756963690.261,0.65,,
1745250265.483,0.83,,,1753087882.836,0.61,1756910239.488,0.67,1756963705.651,0.64,,
1745250280.873,0.82,,,1753087898.226,0.61,1756910254.878,0.66,1756963721.041,0.64,,
1745250296.263,0.82,,,1753087913.616,0.61,1756910270.268,0.67,1756963736.431,0.64,,
1745250311.653,0.82,,,1753087929.006,0.61,1756910285.668,0.66,1756963751.821,0.64,,
1745250327.043,0.83,,,1753087944.396,0.61,1756910301.058,0.67,1756963767.211,0.65,,
1745250342.433,0.83,,,1753087959.786,0.61,1756910316.458,0.67,1756963782.611,0.64,,
1745250357.823,0.82,,,1753087975.176,0.61,1756910331.848,0.66,1756963798.001,0.64,,
1745250373.213,0.82,,,1753087990.566,0.61,1756910347.238,0.67,1756963813.4,0.65,,
1745250388.603,0.83,,,1753088005.956,0.61,1756910362.628,0.67,1756963828.791,0.65,,
1745250403.993,0.83,,,1753088021.346,0.62,1756910378.018,0.67,1756963844.181,0.65,,
1745250419.383,0.83,,,1753088036.736,0.61,1756910405.658,0.67,1756963859.571,0.64,,
1745250434.774,0.83,,,1753088052.126,0.61,1756910421.048,0.67,1756963874.961,0.64,,
1745250450.163,0.83,,,1753088067.516,0.61,1756910436.438,0.67,1756963902.601,0.65,,
1745250465.553,0.83,,,1753088082.906,0.61,1756910451.828,0.67,1756963917.991,0.65,,
1745250480.943,0.83,,,1753088098.296,0.62,1756910467.218,0.67,1756963933.381,0.65,,
1745250496.334,0.83,,,1753088113.686,0.62,1756910482.608,0.67,1756963948.771,0.65,,
1745250511.723,0.82,,,1753088129.086,0.62,1756910497.998,0.67,1756963964.161,0.65,,
1745250527.123,0.83,,,1753088144.476,0.61,1756910513.397,0.67,1756963979.551,0.65,,
1745250542.513,0.82,,,1753088159.867,0.62,1756910528.788,0.67,1756963994.941,0.65,,
1745250557.913,0.84,,,1753088175.256,0.61,1756910544.178,0.67,1756964010.331,0.65,,
1745250573.303,0.82,,,1753088190.646,0.61,1756910559.568,0.67,1756964025.721,0.65,,
1745250588.694,0.83,,,1753088206.036,0.62,1756910571.608,0.67,1756964041.12,0.65,,
1745250616.333,0.83,,,1753088221.426,0.62,1756910586.998,0.67,1756964056.511,0.64,,
1745250631.723,0.83,,,1753088236.816,0.62,1756910602.388,0.67,1756964068.55,0.64,,
,,,,1753088252.206,0.62,1756910617.778,0.67,1756964083.941,0.65,,
,,,,1753088267.596,0.61,1756910633.168,0.67,1756964099.331,0.65,,
,,,,1753088295.236,0.62,1756910648.558,0.67,1756964114.721,0.65,,
,,,,1753088310.626,0.62,1756910663.948,0.66,1756964130.111,0.65,,
,,,,1753088326.016,0.61,1756910679.338,0.67,1756964145.501,0.65,,
,,,,1753088341.407,0.62,1756910694.738,0.66,1756964160.892,0.65,,
